query,device,impressions
curry ststs,Desktop,1
curry statistics,Desktop,1
curry states,Mobile,1
curry stast,Desktop,1
curry stas,Mobile,1
cole aldrich stats,Desktop,1
"chris paul · 11,894",Mobile,1
chris johnson career stats,Mobile,1
career stats larry bird,Mobile,1
david rivers nba,Desktop,1
career stats kobe bryant,Mobile,1
career stats kobe bryant,Desktop,1
career stats for kobe bryant,Mobile,1
buck williams,Desktop,1
bird stats,Mobile,1
bird larry stats,Desktop,1
bird career stats,Mobile,1
bingo smith stats,Mobile,1
anfernee stats,Desktop,1
andrew harrison stats,Desktop,1
abdul jabbar stats,Mobile,1
david rivers basketball,Desktop,1
de anthony melton stats,Desktop,1
hakeem olajuwon age,Desktop,1
ed davis stats,Desktop,1
hakeem olajuwon 3pt percentage,Mobile,1
hakeem olajuwon,Mobile,1
hakeem olajuwan stats,Desktop,1
gerry calabrese,Desktop,1
george mikan stats,Desktop,1
garland stats,Desktop,1
fred jones basketball,Desktop,1
frankie brian,Desktop,1
estadísticas de robert parish,Mobile,1
estadísticas de rick fox,Mobile,1
eric bledsoe stats,Mobile,1
donte grantham stats,Mobile,1
deng adel stats,Desktop,1
donald sloan,Desktop,1
dominique wilkins stats,Tablet,1
dominique wilkins career stats,Mobile,1
dominique wilkins career points,Desktop,1
dino radja europe stats,Mobile,1
devon hall,Mobile,1
derrick gervin,Desktop,1
denver nuggets nikola jokic stats,Mobile,1
dennis rodman career stats,Desktop,1
dennis rodman career rebounds,Desktop,1
deng adel stats,Mobile,1
kareem abdul-jabbar games played,Mobile,1
kareem abdul-jabbar ppg,Desktop,1
kareem career free throw percentage,Desktop,1
lebron james stats nba,Desktop,1
michael hordan stats,Desktop,1
micahel jordan stats,Mobile,1
marcus morris stats,Desktop,1
marcus morris sr. stats,Mobile,1
marcus morris sr stats,Desktop,1
maledon stats,Desktop,1
malcolm thomas basketball,Desktop,1
luol deng career stats,Mobile,1
lindsey hunter stats,Mobile,1
lebronjames stats,Desktop,1
"lebron james · 40,474",Mobile,1
lebron james stats career,Desktop,1
michael jordan all time stats,Mobile,1
lebron james stast,Desktop,1
lebron james physical stats,Desktop,1
leandro barbosa stats,Desktop,1
layman nba,Desktop,1
lary bird stats,Desktop,1
larry burd stats,Desktop,1
larry bird stats all time,Mobile,1
larry bird stats,Tablet,1
larry bird stars,Mobile,1
larry bird stars,Desktop,1
larry bird rookie year stats,Mobile,1
michael joedan stats,Desktop,1
